"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/10/2025";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/10/2025";"0100";"16,5";"16,6";"16,5";"100,0";"100,0";"100,0";"16,5";"16,6";"16,5";"926,4";"926,7";"925,9";"";"199,0";"";"";"0,0"
"01/10/2025";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/10/2025";"0300";"16,2";"16,2";"16,1";"98,0";"100,0";"98,0";"15,9";"16,2";"15,9";"926,4";"926,5";"926,1";"";"212,0";"";"";"0,0"
"01/10/2025";"0400";"16,3";"16,3";"16,1";"96,0";"98,0";"96,0";"15,6";"15,9";"15,6";"926,1";"926,5";"926,1";"";"237,0";"";"";"0,0"
"01/10/2025";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/10/2025";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/10/2025";"0700";"15,6";"15,6";"15,3";"99,0";"100,0";"99,0";"15,5";"15,5";"15,3";"925,4";"925,6";"925,2";"";"194,0";"";"";"0,0"
"01/10/2025";"0800";"15,2";"15,6";"15,2";"100,0";"100,0";"99,0";"15,2";"15,5";"15,2";"926,0";"926,0";"925,3";"";"212,0";"";"";"0,0"
"01/10/2025";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/10/2025";"1000";"14,8";"14,9";"14,5";"100,0";"100,0";"100,0";"14,8";"14,9";"14,5";"927,1";"927,1";"926,7";"";"209,0";"";"72,20";"0,0"
"01/10/2025";"1100";"15,4";"15,5";"14,7";"100,0";"100,0";"100,0";"15,4";"15,4";"14,7";"928,0";"928,0";"927,1";"";"206,0";"";"338,30";"0,0"
"01/10/2025";"1200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
